epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.2033,1.33278,2.86937,1.64158,0.57454,0.85,0.87817,0.63489,1.64855,1.07042,1.38313,0,0,0
2,2.2927,1.20335,2.71831,1.51738,0.56593,0.85,0.8486,0.63183,1.6467,1.06023,1.37386,1.17822e-06,1.17822e-06,1.17822e-06
3,3.36215,1.1398,3.62988,1.55503,0.56073,0.85,0.85084,0.61618,1.6665,1.06084,1.37908,2.33288e-06,2.33288e-06,2.33288e-06
4,4.45605,1.28061,2.75575,1.3915,0.56023,0.85,0.84953,0.61587,1.66049,1.05369,1.37785,3.46397e-06,3.46397e-06,3.46397e-06
5,5.51934,1.38453,3.07675,1.73621,0.56783,0.85,0.85526,0.62113,1.65907,1.04005,1.37508,4.5715e-06,4.5715e-06,4.5715e-06
6,6.58633,1.53416,4.15911,1.9769,0.54355,0.85,0.89361,0.62163,1.69141,1.06419,1.3808,5.65548e-06,5.65548e-06,5.65548e-06
7,7.66766,1.12353,1.87793,1.3978,0.53802,0.85,0.89343,0.62583,1.68124,1.05994,1.37708,6.71588e-06,6.71588e-06,6.71588e-06
8,8.73351,1.3801,4.01943,1.60918,0.54935,0.85969,0.85871,0.61269,1.64639,1.06142,1.3546,7.75273e-06,7.75273e-06,7.75273e-06
9,9.81014,1.12553,2.71144,1.41269,0.57146,0.86181,0.81825,0.59502,1.6683,1.06284,1.36547,8.76602e-06,8.76602e-06,8.76602e-06
10,10.9084,1.19339,3.50695,1.59667,0.58901,0.86241,0.81524,0.5957,1.66146,1.06425,1.35876,9.75574e-06,9.75574e-06,9.75574e-06
11,11.997,1.21424,2.48645,1.45366,0.58871,0.86278,0.85596,0.61996,1.6583,1.0681,1.35861,1.07219e-05,1.07219e-05,1.07219e-05
12,13.0697,1.00733,2.04216,1.38166,0.5877,0.86255,0.85561,0.62084,1.66864,1.08015,1.36664,1.16645e-05,1.16645e-05,1.16645e-05
13,14.1473,0.86584,2.23674,1.13947,0.59673,0.86489,0.85488,0.62066,1.65697,1.07684,1.35894,1.25835e-05,1.25835e-05,1.25835e-05
14,15.2282,1.09214,2.2131,1.48428,0.60053,0.86667,0.888,0.62726,1.66108,1.10197,1.36172,1.3479e-05,1.3479e-05,1.3479e-05
15,16.3311,0.95846,1.65306,1.14388,0.60207,0.86667,0.8881,0.62735,1.66072,1.10958,1.3629,1.43509e-05,1.43509e-05,1.43509e-05
16,17.3973,1.21965,2.48067,1.62441,0.77913,0.65,0.8785,0.62302,1.67368,1.13061,1.37306,1.51993e-05,1.51993e-05,1.51993e-05
17,18.501,0.82504,1.82985,1.18201,0.77064,0.65,0.87349,0.62669,1.67374,1.139,1.37546,1.60241e-05,1.60241e-05,1.60241e-05
